,id,name,categories,rating,review_count,latitude,longitude,categories_list,log_review_count,normalized_rating_restaurants,normalized_log_review_count,popularity_score,wilson_score,normalized_wilson_score,normalized_latitude,normalized_longitude
5079,WOythZo7ThTOJiFCFfp6Iw,Seafood City Supermarket,"[{'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}, {'alias': 'intlgrocery', 'title': 'International Grocery'}, {'alias': 'filipino', 'title': 'Filipino'}]",3.6,265,41.9733434164669,-87.7457495770161,"['Seafood Markets', 'International Grocery', 'Filipino']",5.583496308781699,0.72,0.6063588071256415,0.6404511649879491,3.5687732342007434,0.5006949732013556,-0.11978592800964401,0.1321502403478238
5080,rBGbyFHbCaMgEeoRS2DRlg,Simon Tacos,"[{'alias': 'tacos', 'title': 'Tacos'}]",3.8,251,41.95868,-87.75242,['Tacos'],5.529429087511423,0.76,0.6004871930005494,0.6483410351003845,3.7639215686274508,0.5402732498621938,-0.12667705109871422,0.11180474999999675
5081,XtMNhUCqy-A4LNBNZ1_Xrg,Joe's On Higgins,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,244,41.97289274144098,-87.77569062883603,"['Pizza', 'Italian']",5.501258210544727,0.8,0.5974278806255519,0.6581995164378862,3.9596774193548385,0.5799747376603186,-0.15071762064822572,0.13152492874935443
5082,NL2jRQH744zwQYigb6P0Yw,Mariano's - Jefferson Park,"[{'alias': 'grocery', 'title': 'Grocery'}]",3.2,239,41.97938,-87.75706,['Grocery'],5.480638923341991,0.64,0.5951886588726212,0.6086320612108348,3.17201646090535,0.4202282380551011,-0.13147057187099764,0.14052599999999388
5083,Dr-d4PBF86jVcl2_iqpK4w,Bacci Pizzeria,"[{'alias': 'pizza', 'title': 'Pizza'}]",2.9,234,41.9602602,-87.7539471,['Pizza'],5.459585514144159,0.58,0.5929022921623849,0.5890316045136694,2.876470588235294,0.36028821167021025,-0.12825467729944304,0.11399727749999586
5084,pqyGVhpYy96uXgd-M3wbew,Jollibee,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",3.1,205,41.973039388029626,-87.7455317756966,"['Fast Food', 'Chicken Shop']",5.327876168789581,0.62,0.5785988670108553,0.5910192069075987,3.069377990430622,0.3994120020752868,-0.11956092043438013,0.13172840089110158
5085,AZNvlClyYXVBzmKl-GbyLA,Pete's Pizza #2,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.6,204,41.96014,-87.77383,"['Pizza', 'Italian', 'Coffee & Tea']",5.3230099791384085,0.72,0.5780704065643978,0.6206492845950784,3.5596153846153844,0.49883765832561006,-0.14879543035188586,0.11383049999999892
5086,Yx8BNrQeK3GEOGk0PlV7fQ,El Asadero Colombiano,"[{'alias': 'colombian', 'title': 'Colombian'}]",4.2,197,41.967918,-87.767743,['Colombian'],5.288267030694535,0.8400000000000001,0.5742973776933442,0.6540081643853409,4.146268656716418,0.6178175388119643,-0.1425070335973687,0.12462247499999161
5087,39kFyLPn1NU477OijCvXuQ,Lucky Grill,"[{'alias': 'diners', 'title': 'Diners'}]",3.3,191,41.9619151,-87.7557976,['Diners'],5.2574953720277815,0.6599999999999999,0.5709556245676004,0.5976689371973203,3.2630769230769228,0.43869632375656464,-0.13016640363329393,0.11629345124999357
5088,XThCv12_d4Ge7k9k3ECZ3g,Suparossa Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.0,171,41.9584439,-87.7671882,['Pizza'],5.147494476813453,0.6,0.5590097025294668,0.5713067917706267,2.9657142857142857,0.37838783706253587,-0.141933877277452,0.11147716124999371
